Nombre Negocio,Dirección,Teléfono,Instagram,Categoría,Horario/Tag,WhatsApp Link
Granja Educativa Alfarera Greda,Bernardo O'Higgins 260,+56998793533,@granjaalfarera,Taller de greda,,https://wa.me/56998793533
Espacio Greda,Arturo Prat 352,+56920854538,@espaciogreda.cl,Taller de greda,,https://wa.me/56920854538
Taller del Sol,Arturo Prat 237 B,+56945203264,@tallerdelsol_pomaire,Taller de greda,,https://wa.me/56945203264
Taller Barros,Guillermo Barros 150,+56950432417,@taller.barros.pomaire,Taller de greda,,https://wa.me/56950432417
Juan Pablo Muñoz,Roberto Bravo 164,+56950821246,@pablo.artesanodepomaire,Demostración en torno,,https://wa.me/56950821246
Pascual Gómez,Arturo Prat 352,+56989075630,,Demostración en torno,,https://wa.me/56989075630
Jorge Garrido,Bernardo O'Higgins 260,+56984144279,,Demostración en torno,,https://wa.me/56984144279
El Pericote Artesanía,Guillermo Barros 150,+56940869289,@el.rinconcito.alfarero,Demostración en torno,,https://wa.me/56940869289
Camila y Diego,Roberto Bravo 29,+56961277310,,Artesano/Tienda de greda,,https://wa.me/56961277310
Isolina Guzmán Araya,Roberto Bravo 59,+56987667822,,Artesano/Tienda de greda,,https://wa.me/56987667822
Cerámicas Los Gemelos,Roberto Bravo 455,+56962759986,,Artesano/Tienda de greda,,https://wa.me/56962759986
Juana García,Manuel Rodríguez 347,+56992174717,,Artesano/Tienda de greda,,https://wa.me/56992174717
Familia Gatica Catalán,"Roberto Bravo 252, Galería Catalán Local 26",+56982814690,,Artesano/Tienda de greda,,https://wa.me/56982814690
Isabel R. & Eduardo G.,Roberto Bravo esq. 18 de Septiembre,+56966055530,,Artesano/Tienda de greda,,https://wa.me/56966055530
Gredas Nene La Ruca,Roberto Bravo 44B,+56988291191,,Artesano/Tienda de greda,,https://wa.me/56988291191
Cerámicas Valentina,Roberto Bravo 88-A,+56973887858,,Artesano/Tienda de greda,,https://wa.me/56973887858
El Larita,Roberto Bravo 465,+56997335365,,Artesano/Tienda de greda,,https://wa.me/56997335365
Pachamama Taller,Arturo Prat 338 B,+56954042248,,Artesano/Tienda de greda,,https://wa.me/56954042248
Eduardo Pardo Z.,Roberto Bravo 272,+56999498024,,Artesano/Tienda de greda,,https://wa.me/56999498024
Nano Santibáñez,San Antonio 39,+56996212055,,Artesano/Tienda de greda,,https://wa.me/56996212055
Roberto Bravo,Roberto Bravo 447,+56977750106,,Artesano/Tienda de greda,,https://wa.me/56977750106
Aracely,General Baquedano esq. San Antonio,+56983342757,,Artesano/Tienda de greda,,https://wa.me/56983342757
Lámparas Irarrazaval Diseños,Roberto Bravo 53 A,+56982851797,,Artesano/Tienda de greda,,https://wa.me/56982851797
Jesús Mi Alfarero,Roberto Bravo 221,+56997568575,,Artesano/Tienda de greda,,https://wa.me/56997568575
Cerámica El Arbolito,Roberto Bravo 510,+56993733512,,Artesano/Tienda de greda,,https://wa.me/56993733512
Taller Edi Art,General Baquedano 316,+56979340584,,Artesano/Tienda de greda,,https://wa.me/56979340584
Miguel Salinas Baeza,Roberto Bravo 13B,+56994560850,,Artesano/Tienda de greda,,https://wa.me/56994560850
La Raquelita,Roberto Bravo 88,+56995169386,,Artesano/Tienda de greda,,https://wa.me/56995169386
Taller San José,Roberto Bravo 460,+56982117144,,Artesano/Tienda de greda,,https://wa.me/56982117144
Cerámica y Decoración Inelia,Arturo Prat 338,+56975182329,,Artesano/Tienda de greda,,https://wa.me/56975182329
San Marcos,Roberto Bravo 267,+56953160316,,Artesano/Tienda de greda,,https://wa.me/56953160316
Segundo Enrique Trujillo S.,San Antonio 10,+56985669982,,Artesano/Tienda de greda,,https://wa.me/56985669982
Rosa y Marcela,Roberto Bravo 414,+56985039992,,Artesano/Tienda de greda,,https://wa.me/56985039992
Gredas Ximena,San Antonio esq. Arturo Prat,+56996687585,,Artesano/Tienda de greda,,https://wa.me/56996687585
Cerámica Badi,Roberto Bravo 49,+56987584538,,Artesano/Tienda de greda,,https://wa.me/56987584538
Cerámicas Fonola,Roberto Bravo 185,+56992467532,,Artesano/Tienda de greda,,https://wa.me/56992467532
La Palmera,Roberto Bravo 502,+56987854529,,Artesano/Tienda de greda,,https://wa.me/56987854529
Doña Laurita,Roberto Bravo 407,+56961651455,,Artesano/Tienda de greda,,https://wa.me/56961651455
Gredas Flores,San Antonio 335,+56951123005,,Artesano/Tienda de greda,,https://wa.me/56951123005
Cerámicas El Cheo,Roberto Bravo 56 A,+56991661194,,Artesano/Tienda de greda,,https://wa.me/56991661194
Cerámicas Tania,Roberto Bravo 454,+56962577048,,Artesano/Tienda de greda,,https://wa.me/56962577048
Enrique Garrido,Manuel Rodríguez 345,+56973165446,,Artesano/Tienda de greda,,https://wa.me/56973165446
Artesanías Bernarda Hernández,"Roberto Bravo 248, Galería Serruchos",+56990225433,,Artesano/Tienda de greda,,https://wa.me/56990225433
Robertito,Roberto Bravo esq. 18 de Septiembre,+56946497460,,Artesano/Tienda de greda,,https://wa.me/56946497460
Fresia Castillo Romero,Roberto Bravo 13A,+56994511658,,Artesano/Tienda de greda,,https://wa.me/56994511658
Artesanía Tradicional El Gomero,Roberto Bravo 80,+56991606574,,Artesano/Tienda de greda,,https://wa.me/56991606574
Rosa Mora,Roberto Bravo 457,+56995580575,,Artesano/Tienda de greda,,https://wa.me/56995580575
Octavio Fernando Silva R.,Manuel Rodríguez con San Antonio,+56931471192,,Artesano/Tienda de greda,,https://wa.me/56931471192
Mami Inés,"Roberto Bravo 252, Galería Catalán Local 1",+56983290566,,Artesano/Tienda de greda,,https://wa.me/56983290566
Artesanía Tradicional Loza de Greda,Roberto Bravo con Morandé,+56998781143,,Artesano/Tienda de greda,,https://wa.me/56998781143
Gredas La Mamy,Roberto Bravo 44C,+56997225185,,Artesano/Tienda de greda,,https://wa.me/56997225185
Cerámicas Miguel Ángel,Roberto Bravo 97,,,Artesano/Tienda de greda,,
María Elisa Salinas Aguilera,Roberto Bravo 469,+56992320964,,Artesano/Tienda de greda,,https://wa.me/56992320964
Donde Miguel,Arturo Prat 380,+56992682046,,Artesano/Tienda de greda,,https://wa.me/56992682046
La Poza,Roberto Bravo 311,+56993617561,,Artesano/Tienda de greda,,https://wa.me/56993617561
Artesanía Utilitaria El Cone,San Antonio 215,+56984730313,,Artesano/Tienda de greda,,https://wa.me/56984730313
Mi Chanchita,Roberto Bravo 453,+56996721752,,Artesano/Tienda de greda,,https://wa.me/56996721752
Cerámicas Rosa Ester,Manuel Rodríguez 15,+56977751558,,Artesano/Tienda de greda,,https://wa.me/56977751558
Don Francisco,Roberto Bravo 56 B,+56968089602,,Artesano/Tienda de greda,,https://wa.me/56968089602
Taller Tierra Arte,Roberto Bravo 221,+56977877784,,Artesano/Tienda de greda,,https://wa.me/56977877784
María,El Carmen 275,+56989909036,,Artesano/Tienda de greda,,https://wa.me/56989909036
Oscar Alejandro Durán,El Carmen 690,+56983527207,,Artesano/Tienda de greda,,https://wa.me/56983527207
Marisol Quiróz Abarca,Lautaro 752,+56999745542,,Artesano/Tienda de greda,,https://wa.me/56999745542
Cerámicas Dami,El Carmen 479,+56968007192,,Artesano/Tienda de greda,,https://wa.me/56968007192
Cerámica Carolina,El Limonal 722,+56971031885,,Artesano/Tienda de greda,,https://wa.me/56971031885
Amelia Rojas Quiróz,Bernardo O'Higgins 315,+56978316925,,Artesano/Tienda de greda,,https://wa.me/56978316925
Cerámicas Anaís,El Carmen 329,+56967749664,,Artesano/Tienda de greda,,https://wa.me/56967749664
Elías Veliz,Rafael Morandé 480 B,+56990325852,,Artesano/Tienda de greda,,https://wa.me/56990325852
Fábrica de maceteros y vasijas de greda Don Petro,"El Carmen, Pomaire",,,Artesano/Tienda de greda,,
Imperio Pomaire,Roberto Bravo 78,+56973421189,,Restaurante,Lunes a domingo,https://wa.me/56973421189
Pomaire Restaurant,Pomaire,,@pomaire_restaurant,Restaurante,Restaurante,
Restaurant La Greda,Manuel Rodríguez 251,,,Restaurante,30+ años · empanada más grande del mundo,
Restaurante Los Naranjos,Roberto Bravo 29,+56945606393,,Restaurante,Miércoles a domingo,https://wa.me/56945606393
La Cañada,Roberto Bravo 307,+56976768309,,Restaurante,Sábado y domingo,https://wa.me/56976768309
La Pica del Artesano,Roberto Bravo 114,+56992812141,,Restaurante,Lunes a domingo,https://wa.me/56992812141
El Boliche de Pomaire,San Antonio 17,+56932734479,,Restaurante,Lunes a domingo · 10:00 a 18:00 hrs,https://wa.me/56932734479
La Normita (Tenedor libre),Manuel Rodríguez 325,+56946609599,,Restaurante,Lunes a domingo,https://wa.me/56946609599
Emporio Doña Tránsito,San Antonio 321,+56954461130,,Restaurante,Sábado y domingo,https://wa.me/56954461130
San Sebastián,Roberto Bravo 50,+56990440988,,Restaurante,Lunes a domingo,https://wa.me/56990440988
La Pica de la Mireya,Roto Chileno 249,+56953387756,,Restaurante,Lunes a domingo,https://wa.me/56953387756
